"Bill of Material for "
"On 2016/6/7 at 16:33:12"

"Comment","Pattern","Quantity","Components"

"0.1uF","0805_LY","14","C1, C2, C3, C4, C6, C8, C9, C10, C13, C19, C20, C22, C23, C24","Cap"
"0R","0805_LY","1","R40","Re"
"100uF","TC6.3*7.7","1","C11","100"
"10K","0805_LY","39","R3, R4, R5, R7, R8, R9, R10, R11, R12, R13, R15, R16, R18, R19, R20, R21, R22, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R37, R38, R39, R41, R42, R43, R46, R50, R51, R52, R53, R54","Re"
"10R","0805_LY","4","R23, R24, R47, R48","Re"
"10uF","0805_LY","1","C7","Cap"
"10uF","TC5*5","2","C25, C26","10"
"1K","0805_LY","6","R1, R2, R14, R17, R44, R45","Re"
"1uF/50V","0805_LY","2","C12, C15","Cap"
"1uF","0805_LY","2","C5, C18","Cap"
"2.54","HDR1X6","1","J9","Header, 6-Pin"
"20pF","0805_LY","2","C16, C17","Cap"
"5.1K","0805_LY","2","R6, R36","Re"
"74HCT08","SO-14","1","U5","与门"
"74HCT14","SO-14","1","U4","反向输"
"8M","HC-49SMD","1","X1",""
"Comment","SH3.3","4","Designator5, Designator6, Designator7, Designator8",""
"extract","HDR1X8","1","P3","Header, 8-Pin"
"Header 2","XH2.54-2P","1","J7","Header,"
"Header 3","HDR1X3","2","P6, P7","Header, 3-Pin"
"Header 4X2","HDR2X4","2","J4, J8","Header, 4-Pin, Dual row"
"Header 6","HDR1X6","2","P4, P5","Header, 6-Pin"
"Header 6X2","HDR2X6","2","P1, P2","Header, 6-Pin, Dual row"
"Header 7","HDR1X7","1","J2","Header, 7-Pin"
"LED","0805_LED","1","L1",""
"LED-Y","0805_LED","4","LED1, LED2, LED3, LED4",""
"MPU6050S","MPU6050S","1","U2",""
"N/A","0805_LY","4","C14, C21, R25, R49","Cap"
"PH2.0-4P","HDR1X4","1","J3","Header, 4-Pin"
"PH2.0-4P","PH2.0-4P","1","J5","Header,"
"SOT-23","SOT-23_L","4","Q3, Q4, Q7, Q8","NPN Bipolar Transistor"
"SS12D07","SS-12D07","1","S2",""
"SS14","SMA","1","D1",""
"STM32F103RCT6","LQFP64_N","1","U3","256K Flas"
"SW-PB","SW-KEY","1","S1",""
"TO-252-4","TO-252-4L","4","Q1, Q2, Q5, Q6",""
"XC6503D331","SOT23-5","1","U1",""
"XH2.54-2P","CAP2.54-2P","1","J6","?"
"XH2.54-4P","XH2.54-4P","1","J1","?"
